('90129', ['18984', '129939'])
('53645', ['51252', '155799'])
('144338', ['100133', '32875'])
('41382', ['1751', '18984'])
('112217', ['42280', '259421'])
('61585', ['12108', '49878'])
('168284', ['260851', '242212'])
('214831', ['7852', '106707'])
('109057', ['99732', '12108'])
('100208', ['6852', '49878'])
('11910', ['6852', '54372'])
('50648', ['171738', '87624'])
('66774', ['106707', '90514'])
('138585', ['68731', '6852'])
('54217', ['12672', '129423'])
('79275', ['172941', '143536'])
('137609', ['78783', '171738'])
('54046', ['18968', '45825'])
('104929', ['104488', '129939'])
('58310', ['93674'])
('264094', ['83908'])
('250104', ['96449', '32875'])
('81534', ['172941', '18099'])
('86210', ['42280', '93674'])
('68739', ['50589', '42280'])
('82344', ['78620'])
('68731', ['12108', '12672'])
('198', ['12469', '250104'])
('25288', ['34415', '43665'])
('115457', ['68739', '18516'])
('43598', ['79537', '185728'])
('74535', ['185728', '53022'])
('117251', ['78620', '154310'])
('56837', ['18984', '21644'])
('117529', ['69410', '79537'])
('80208', ['5026', '102999'])
('87624', ['143683', '149594'])
('19810', ['12108', '69239'])
('260851', ['112249', '134286'])
('25590', ['18984', '107656'])
('164704', ['62403', '12108'])
('71768', ['107656', '210933'])
('49060', ['100133', '54372'])
('154473', ['135088', '231644'])
('89958', ['100133', '100943'])
('127001', ['90129', '158459'])
('126239', ['101042', '167474'])
('124322', ['163322', '5117'])
('69100', ['205316', '205669'])
('49763', ['103900', '70279'])
('47095', ['16610', '68731'])
('115195', ['96449', '146974'])
('218202', ['43411', '96449'])
('131666', ['18984', '107656'])
('49560', ['104488', '155799'])
('196451', ['70378', '154473'])
('60430', ['185728', '24026'])
('134187', ['126632'])
('125616', ['12672', '78620'])
('126124', ['6852', '102999'])
('53022', ['106707', '90474'])
('54495', ['62403', '78620'])
('103900', ['100534', '42280'])
('127295', ['209214', '30084'])
('78954', ['93674', '69723'])
('62403', ['102999'])
('89506', ['86210', '114107'])
('9325', ['83777', '103900'])
('176705', ['39056', '181373'])
('103996', ['42280', '85456'])
('100534', ['13982', '101443'])
('133746', ['130773', '100943'])
('90768', ['126632', '143536'])
('12335', ['12108', '18984'])
('84055', ['45825', '21644'])
('43935', ['102999'])
('216106', ['69811'])
('84825', ['127295', '78783'])
('20556', ['12672', '102999'])
('172941', ['106707', '42494'])
('231644', ['111225', '211473'])
('70891', ['167872', '146974'])
('18516', ['16364', '12108'])
('71236', ['90474', '90514'])
('65833', ['83777', '79537'])
('163266', ['65079', '154310'])
('162814', ['104929', '50172'])
('146974', ['96449', '42280'])
('143683', ['149594'])
('79390', ['93396', '16610'])
('54372', ['149594', '94821'])
('79005', ['12672', '5117'])
('99732', ['12672', '78620'])
('27571', ['143536', '83777'])
('218790', ['18984'])
('54086', ['12672', '16610'])
('142277', ['100943', '12672'])
('175315', ['205669', '24026'])
('100518', ['18984', '62403'])
('83614', ['79537', '223915'])
('96695', ['42494', '79537'])
('171262', ['214831', '90752'])
('233510', ['154310', '12672'])
('232775', ['43411', '106707'])
('104750', ['17404', '149594'])
('153564', ['69723', '17404'])
('65424', ['43935', '12108'])
('16364', ['59644', '106707'])
('60160', ['78620', '100804'])
('84071', ['69410', '82213'])
('198849', ['78954', '141988'])
('185728', ['27694', '90514'])
('75484', ['46087', '210933'])
('30731', ['102999', '100943'])
('104055', ['176705'])
('42069', ['79537', '49731'])
('96762', ['145247', '218202'])
('80780', ['125616', '69239'])
('153842', ['7852', '151150'])
('78783', ['126632', '87624'])
('3593', ['222025'])
('79537', ['93396', '210933'])
('171460', ['42280', '106707'])
('42280', ['106707', '68731'])
('134286', ['18984', '24026'])
('113198', ['78620', '12108'])
('259421', ['21644', '171738'])
('158125', ['53129', '90752'])
('17404', ['54372', '100133'])
('211187', ['112217', '153500'])
('94690', ['111193', '18984'])
('158459', ['50648', '54372'])
('133623', ['70378', '7360'])
('139665', ['86210', '13033'])
('166899', ['134286', '171738'])
('129939', ['71768', '114107'])
('70378', ['101451', '137609'])
('3831', ['209214', '94821'])
('65162', ['24026', '145124'])
('83991', ['104571', '84956'])
('70279', ['106707', '158459'])
('261736', ['96449', '210933'])
('52701', ['100943', '12672'])
('69803', ['79390'])
('100379', ['133746', '79005'])
('18968', ['106707', '12108'])
('56436', ['18099', '149594'])
('138387', ['102999', '6852'])
('69410', ['11910', '68870'])
('70752', ['158459', '79005'])
('53252', ['100943', '7852'])
('1751', ['12672', '12108'])
('246150', ['211473', '266369'])
('36059', ['114107', '5117'])
('50172', ['13359', '90752'])
('18984', ['62403', '96449'])
('38925', ['79537', '1048'])
('6852', ['2660', '12108'])
('67544', ['48806', '43935'])
('236972', ['112249', '260851'])
('184501', ['5117', '42280'])
('24026', ['96449', '100804'])
('23879', ['127295', '100943'])
('155914', ['80994', '43411'])
('71570', ['14645', '96449'])
('179670', ['43935', '62403'])
('133155', ['78783', '167872'])
('93527', ['72054', '79537'])
('60088', ['100943', '69723'])
('76123', ['79283', '138387'])
('137315', ['42494', '106707'])
('68862', ['100804', '72832'])
('166835', ['101042', '80887'])
('108466', ['78954', '100534'])
('54142', ['90752', '43665'])
('202279', ['42280', '103900'])
('242212', ['127295', '30084'])
('40326', ['202279', '84071'])
('100002', ['43665', '111225'])
('225971', ['125330'])
('171353', ['198', '111078'])
('178221', ['158459', '90474'])
('97513', ['79283', '54217'])
('10306', ['103900'])
('7852', ['12108', '143683'])
('87731', ['79537', '72054'])
('93853', ['167872', '96449'])
('102948', ['18984', '103900'])
('202009', ['127295', '78954'])
('78620', ['2660', '62403'])
('219488', ['61216', '223915'])
('59048', ['74535', '113198'])
('13442', ['56436', '18099'])
('242450', ['242212', '135088'])
('101443', ['16364', '12672'])
('53030', ['79537'])
('205316', ['134286', '100534'])
('207634', ['18984', '96449'])
('143397', ['79537', '185728'])
('121769', ['100133', '78620'])
('10151', ['106707', '205669'])
('100943', ['100133', '12108'])
('70720', ['5026', '13442'])
('48552', ['192489', '209214'])
('93674', ['59644', '16610'])
('11338', ['54372', '106707'])
('100133', ['7777', '62403'])
('48985', ['205316', '68862'])
('5713', ['149594', '137609'])
('91923', ['90474'])
('176478', ['218202'])
('102547', ['77072', '218857'])
('167474', ['79537', '69723'])
('69001', ['172941', '101042'])
('167872', ['126632', '145247'])
('210933', ['149594', '7777'])
('80887', ['149594'])
('202306', ['80994', '51057'])
('122809', ['93674', '129423'])
('4764', ['16610', '32875'])
('156307', ['17404', '100943'])
('234705', ['149594', '126632'])
('61085', ['79537', '207912'])
('58612', ['49878', '27694'])
('99430', ['78954', '100943'])
('149594', ['126632'])
('85766', ['65368', '79537'])
('201378', ['51057', '90514'])
('32506', ['10151', '137609'])
('50624', ['21644', '13033'])
('135088', ['3831', '209214'])
('44328', ['65368', '79537'])
('16209', ['90514', '143726'])
('121983', ['13359', '78954'])
('14276', ['218857', '50001'])
('16610', ['102999'])
('97366', ['205669', '134286'])
('92979', ['100943', '42280'])
('95115', ['205669', '24026'])
('129423', ['54495', '94821'])
('94821', ['62403'])
('12688', ['85881', '18984'])
('94412', ['5117', '54479'])
('101066', ['65368', '79537'])
('1048', ['87624', '126632'])
('118109', ['84071', '79537'])
('211473', ['210933', '50648'])
('69239', ['95385', '42280'])
('215379', ['5117', '78620'])
('43411', ['106707', '96449'])
('25483', ['103817', '102999'])
('147565', ['69723', '79537'])
('214288', ['96762', '145247'])
('154310', ['5117', '111078'])
('21644', ['113198', '79390'])
('34415', ['78783'])
('16273', ['129423', '10619'])
('60930', ['72832', '100133'])
('169035', ['130773', '62403'])
('49731', ['79537', '210933'])
('99863', ['18099', '51057'])
('90514', ['90474', '91923'])
('167629', ['154473', '101451'])
('90923', ['167872', '126632'])
('171738', ['143683', '126632'])
('68533', ['104750', '51057'])
('3176', ['179670', '72832'])
('122734', ['137609', '78954'])
('124774', ['83777', '80887'])
('98898', ['101042', '90514'])
('47333', ['15725', '205316'])
('15292', ['100133', '78620'])
('131765', ['18099', '78620'])
('182314', ['163322', '100133'])
('90637', ['16610'])
('151150', ['7852', '207912'])
('62141', ['18984', '107656'])
('13498', ['209214', '21644'])
('111225', ['205669', '69811'])
('10619', ['54479', '62403'])
('85416', ['231644', '12469'])
('192679', ['39056', '65079'])
('45825', ['69410', '60088'])
('65079', ['80994', '43411'])
('50589', ['12672', '51057'])
('14947', ['101098', '115866'])
('152393', ['17404', '160793'])
('52645', ['16610', '61585'])
('155799', ['106707', '17404'])
('7360', ['70378', '80887'])
('96318', ['62403', '100943'])
('11362', ['12108', '100943'])
('68132', ['59644', '68731'])
('127656', ['210933', '95115'])
('162651', ['21120'])
('2660', ['102999', '43935'])
('42101', ['79537', '100943'])
('181560', ['90752', '156478'])
('127220', ['16364', '100804'])
('200782', ['185728', '49878'])
('211497', ['54372', '42280'])
('71808', ['65368', '79537'])
('84456', ['69723', '59906'])
('22783', ['78620', '99732'])
('189551', ['149594', '210933'])
('9250', ['79390', '93396'])
('222025', ['11362', '242212'])
('161555', ['3176', '154310'])
('41537', ['17404', '100133'])
('166137', ['18099', '6852'])
('143726', ['100943', '149594'])
('27392', ['4764', '95385'])
('31974', ['60430', '106707'])
('161226', ['179670', '92388'])
('68493', ['19810', '209214'])
('145124', ['93396', '49878'])
('13033', ['42280', '21644'])
('59906', ['39056', '101042'])
('111078', ['100133', '38246'])
('156478', ['70704', '154310'])
('68870', ['16610', '79390'])
('104488', ['93396', '102999'])
('56289', ['43935', '100379'])
('3160', ['59644', '93674'])
('33875', ['121769', '107656'])
('101034', ['59644', '68870'])
('85226', ['4764', '18984'])
('11747', ['12672', '70704'])
('156470', ['54495', '94821'])
('122202', ['21644', '259421'])
('166228', ['158459', '106707'])
('101689', ['130773', '169035'])
('59997', ['12108', '43935'])
('240942', ['198', '209214'])
('83777', ['100943', '12108'])
('153500', ['65079', '80994'])
('239790', ['93674', '79537'])
('53054', ['42280', '78954'])
('190000', ['42280', '205316'])
('5026', ['2660', '100943'])
('188845', ['86151', '154473'])
('80486', ['70378', '12410'])
('13359', ['78954', '79537'])
('138582', ['70704', '62403'])
('48905', ['42280', '134286'])
('231406', ['127295', '209214'])
('4684', ['51057'])
('38246', ['100133', '70704'])
('85456', ['13033', '12108'])
('162584', ['126632', '51057'])
('198865', ['260851', '127295'])
('134369', ['102999', '89244'])
('12108', ['2660', '102999'])
('90482', ['145124', '49878'])
('101451', ['134286', '171738'])
('175013', ['13359', '16209'])
('69723', ['79537', '93396'])
('42494', ['2660', '100133'])
('53129', ['106707', '50589'])
('230588', ['16610'])
('139590', ['62403', '70378'])
('5117', ['62403', '242212'])
('54479', ['62403', '96318'])
('152190', ['79537', '42280'])
('218857', ['50001', '51057'])
('131583', ['79537', '137609'])
('54471', ['12108'])
('125397', ['153500', '68461'])
('169217', ['45825', '79537'])
('68052', ['100943', '83777'])
('679', ['127295', '23879'])
('12469', ['2660', '12108'])
('100454', ['218202', '145247'])
('7777', ['78620', '93396'])
('139761', ['42280', '106707'])
('50386', ['18984', '24026'])
('198785', ['10151', '53022'])
('152067', ['126632', '218202'])
('14645', ['12108', '12672'])
('103817', ['102999'])
('70450', ['137609', '207912'])
('43601', ['106707', '96695'])
('92388', ['90474', '90514'])
('101098', ['42280', '176403'])
('246757', ['106707', '121769'])
('72431', ['42280', '210933'])
('131519', ['15503', '12108'])
('77072', ['107656'])
('74674', ['11910', '43601'])
('51252', ['121769', '100133'])
('122023', ['65424', '49060'])
('206765', ['68739'])
('86079', ['65368', '79537'])
('96449', ['32875', '210933'])
('90188', ['70279', '13359'])
('130856', ['96449', '250104'])
('137855', ['79537', '1048'])
('122884', ['167872', '96449'])
('65670', ['42280', '113198'])
('206169', ['42280', '115866'])
('187415', ['42280', '21644'])
('13279', ['79537', '49731'])
('65368', ['79537', '38925'])
('18099', ['78620', '2660'])
('61216', ['80994', '163322'])
('59128', ['18984', '100804'])
('54193', ['102999'])
('101483', ['12410', '18099'])
('222370', ['18099', '100002'])
('130773', ['113198', '100943'])
('59644', ['78620', '12108'])
('106707', ['87624', '61585'])
('181183', ['96695', '43601'])
('114460', ['65368', '79537'])
('12672', ['158459', '93674'])
('138312', ['2660', '102999'])
('223958', ['198'])
('82213', ['139761', '70279'])
('82606', ['139665', '50172'])
('177713', ['62403', '114107'])
('1096', ['62403', '1751'])
('104571', ['158459', '100804'])
('83023', ['154473', '168284'])
('21676', ['82213', '210933'])
('106346', ['122023', '42280'])
('95532', ['71236', '101042'])
('24542', ['90474', '90514'])
('85087', ['106707', '70704'])
('15503', ['2660', '16610'])
('143536', ['5026', '129423'])
('43665', ['100943', '111225'])
('79283', ['54217', '126632'])
('209214', ['96449', '250104'])
('189936', ['139761', '103900'])
('104071', ['51057', '80887'])
('64146', ['84956', '59644'])
('46702', ['266369', '94821'])
('135358', ['59644', '43935'])
('7876', ['20556', '45825'])
('172008', ['103900', '259421'])
('192489', ['87624', '158459'])
('86151', ['231644', '106707'])
('60422', ['30731', '126124'])
('116227', ['96449', '38925'])
('176403', ['166228', '79537'])
('53939', ['111225', '21644'])
('238357', ['82868', '100534'])
('11600', ['106707', '87624'])
('104774', ['125616', '20556'])
('42216', ['16364', '185728'])
('45106', ['154310', '5117'])
('85627', ['18984', '96449'])
('70704', ['62403', '100943'])
('80994', ['43411', '209214'])
('27456', ['18984', '103900'])
('89244', ['78954', '51057'])
('89533', ['100943', '82606'])
('84293', ['100133', '163322'])
('32875', ['100133', '87624'])
('114107', ['12108', '62403'])
('163322', ['12672', '231644'])
('51057', ['68870', '79390'])
('30961', ['71768', '84956'])
('112249', ['134286', '127295'])
('37035', ['80994', '233510'])
('13982', ['106707', '100943'])
('115866', ['12672', '259421'])
('70779', ['138387', '16610'])
('110145', ['205669', '10151'])
('90300', ['126632'])
('211390', ['79537', '65368'])
('147613', ['50648', '72832'])
('15725', ['103900', '205316'])
('100804', ['60930', '72054'])
('189019', ['43411', '111225'])
('125330', ['102999', '79537'])
('145247', ['96449', '248401'])
('248401', ['96449', '43411'])
('94444', ['12672', '83777'])
('149979', ['42280', '141988'])
('223915', ['230588', '122809'])
('84956', ['78620', '127295'])
('49878', ['143683', '16610'])
('38655', ['96318', '62403'])
('33704', ['167872', '96449'])
('68461', ['137609', '171738'])
('65841', ['158459'])
('82868', ['42280', '106707'])
('25149', ['90752', '54142'])
('72054', ['93396', '79390'])
('116457', ['160793', '80208'])
('80641', ['72832', '12410'])
('53987', ['89244', '6852'])
('101042', ['104488', '7777'])
('107656', ['68870', '79390'])
('105036', ['90752', '10151'])
('174152', ['210933'])
('89902', ['100943', '145247'])
('93396', ['16610', '102999'])
('141988', ['78954', '79537'])
('76246', ['106707', '79537'])
('39326', ['7852', '61585'])
('226952', ['127295', '78954'])
('111193', ['145124', '100804'])
('36086', ['214831'])
('72931', ['189551', '106707'])
('166073', ['25483', '39056'])
('95313', ['179670', '155799'])
('95099', ['106707', '27392'])
('222886', ['134286', '260851'])
('85881', ['21644', '205669'])
('187102', ['79537', '49878'])
('161801', ['163322', '231644'])
('90474', ['80887'])
('30084', ['209214', '94821'])
('72832', ['104488'])
('17190', ['78954', '209214'])
('231831', ['154310', '5117'])
('147907', ['45825', '15725'])
('48806', ['6852', '68870'])
('5042', ['127295', '135358'])
('160793', ['51057', '202306'])
('90752', ['214831', '78954'])
('27694', ['49878'])
('85143', ['42280', '6852'])
('84007', ['100943', '127220'])
('12410', ['78620', '12108'])
('141769', ['79537', '49731'])
('119117', ['79537', '96449'])
('5633', ['129939', '13359'])
('184819', ['12108', '43665'])
('95385', ['134286', '4764'])
('139991', ['158459', '12108'])
('105266', ['100133', '93396'])
('39056', ['100943', '121769'])
TIEMPO: 1243.68753195
