#Diferencia_tiempo(s) NumPromedio(personas)
CADA MEDIA HORA (t_ini=1800s, t_fin=34200s)
1800 5
3600 7
5400 9
7200 11
9000 13
10800 14
12600 15
14400 16
16200 17
18000 18
19800 19
21600 20
23400 21
25200 22
27000 22
28800 23
30600 24
32400 24
34200 25

CADA 5 MINUTOS (t_ini=300s, t_fin=5700s)
300 2
600 3
900 3
1200 4
1500 4
1800 5
2100 5
2400 6
2700 6
3000 7
3300 7
3600 7
3900 8
4200 8
4500 8
4800 9
5100 9
5400 9
5700 10

CADA MINUTO(t_ini=60s, t_fin=1140s)

60 1
120 1
180 2
240 2
300 2
360 2
420 2
480 2
540 3
600 3
660 3
720 3
780 3
840 3
900 3
960 3
1020 4
1080 4
1140 4

CADA 10 SEGUNDOS(t_ini=10s, t_fin=190s)
10 1
20 1
30 1
40 1
50 1
60 1
70 1
80 1
90 1
100 1
110 1
120 1
130 1
140 1
150 1
160 1
170 1
180 2
190 2

CADA SEGUNDO (t_ini=1s, t_fin=10s)
1 1.0
2 1.0
3 1.0
4 1.01369863014
5 1.01923076923
6 1.01666666667
7 1.02739726027
8 1.0289017341
9 1.03092783505
