('110557', ['204084', '154277'])
('114789', ['114073', '79969'])
('11543', ['94125', '103822'])
('126873', ['38371', '13195'])
('188751', ['237060', '170115'])
('217473', ['131114', '114073'])
('138582', ['65985', '155281'])
('89379', ['7607', '100556'])
('114073', ['116028', '20927'])
('165289', ['209434', '145885'])
('174951', ['240240', '231842'])
('36606', ['105142', '7517'])
('127364', ['245555', '191463'])
('132642', ['69958', '132640'])
('132640', ['132642', '108476'])
('132641', ['122082', '112063'])
('51262', ['71820', '180620'])
('19391', ['90748', '125416'])
('104540', ['43047', '12523'])
('155639', ['121800', '127520'])
('127479', ['170115', '103692'])
('261927', ['70264', '158388'])
('82441', ['127714', '6342'])
('61173', ['139599', '16077'])
('241671', ['136508', '110557'])
('127474', ['185622', '104054'])
('53901', ['139283', '54055'])
('120121', ['4072', '94783'])
('120123', ['260851', '159898'])
('120436', ['28271', '106427'])
('266040', ['240425', '60323'])
('151958', ['90677', '119255'])
('118090', ['62403', '84633'])
('101499', ['58221', '160193'])
('235380', ['11149', '165640'])
('151956', ['219991', '261374'])
('166152', ['101085', '149594'])
('88392', ['154277', '12832'])
('46134', ['92977', '11789'])
('135030', ['204059', '192226'])
('198954', ['58952', '68833'])
('198955', ['42280', '145111'])
('177642', ['260851', '162033'])
('252567', ['79882', '70903'])
('191463', ['155102', '161313'])
('231960', ['220026', '239895'])
('165823', ['100002', '70362'])
('25288', ['213246', '189219'])
('144338', ['11766', '118480'])
('25282', ['119616', '93656'])
('25281', ['121267', '40980'])
('272', ['67376', '36771'])
('274', ['15455', '19542'])
('117251', ['40323', '163796'])
('51845', ['68605', '100058'])
('11548', ['76463', '94216'])
('117529', ['90854', '12836'])
('182453', ['119460', '186918'])
('117418', ['69958', '86210'])
('97331', ['13281', '77910'])
('167447', ['177123', '45408'])
('64674', ['138586', '15047'])
('100014', ['16927', '15713'])
('246948', ['236828', '34462'])
('17251', ['51616', '15399'])
('52463', ['64779', '164878'])
('119861', ['64225', '6316'])
('17256', ['100943', '178108'])
('53738', ['81296', '77909'])
('124232', ['73533', '15399'])
('121521', ['100206', '97964'])
('63023', ['14923', '16004'])
('10700', ['9425', '40573'])
('191681', ['196212', '18714'])
('9521', ['4214', '11359'])
('9250', ['114471', '100943'])
('9523', ['234638', '220237'])
('24883', ['2437', '8879'])
('141510', ['50981', '88214'])
('247467', ['18935', '207010'])
('49564', ['155541', '2702'])
('152530', ['170032', '85710'])
('49560', ['34330', '17922'])
('106472', ['61675', '85253'])
('84120', ['51616', '69557'])
('141514', ['16077', '4020'])
('85353', ['96624', '108086'])
('81754', ['108005', '116726'])
('64905', ['50909', '58820'])
('154277', ['99910', '193519'])
('69178', ['63436', '205669'])
('64459', ['71820', '170106'])
('26029', ['18219', '13664'])
('250774', ['38875', '161494'])
('204642', ['55791', '77442'])
('159756', ['123321', '123402'])
('44799', ['152939', '69320'])
('210794', ['114541', '96090'])
('107887', ['69557', '15811'])
('128126', ['65985', '121697'])
('202566', ['6214', '218202'])
('44245', ['9386', '126863'])
('22877', ['18164', '13694'])
('58079', ['82298', '133790'])
